Participant,Game,TotalScore,Bonus,Flight,Fortress,Mine,Press,Type
sub-114,G03,-355,NA,-1105,750,NA,321,monotask
sub-114,G04,-1110,0,-1950,500,340,315,multitask
sub-114,G05,-195,NA,-945,750,NA,354,monotask
sub-114,G06,-280,50,-1330,250,750,285,multitask
sub-114,G07,580,NA,-170,750,NA,527,monotask
sub-114,G08,425,200,-475,250,450,478,multitask
sub-114,G09,-245,NA,-995,750,NA,445,monotask
sub-114,G10,490,400,-930,250,770,338,multitask
sub-115,G01,1250,NA,NA,1250,NA,445,monotask
sub-115,G02,1020,200,-470,500,790,483,multitask
sub-115,G03,710,NA,-540,1250,NA,496,monotask
sub-115,G04,1020,-50,-360,500,930,427,multitask
sub-115,G05,1095,NA,-155,1250,NA,456,monotask
sub-115,G06,1635,50,-185,750,1020,447,multitask
sub-115,G07,1015,NA,-485,1500,NA,528,monotask
sub-115,G08,1630,200,-350,750,1030,470,multitask
sub-115,G09,1630,NA,-370,2000,NA,489,monotask
sub-115,G10,1820,300,-100,500,1120,443,multitask
sub-116,G01,-535,NA,-1035,500,NA,346,monotask
sub-116,G02,-1020,150,-1490,NA,320,324,multitask
sub-116,G03,-1795,NA,-2295,500,NA,333,monotask
sub-116,G04,-1520,250,-2490,250,470,336,multitask
sub-116,G05,-155,NA,-905,750,NA,307,monotask
sub-116,G06,-655,400,-2055,500,500,336,multitask
sub-116,G07,-375,NA,-1125,750,NA,322,monotask
sub-116,G08,-440,300,-2120,750,630,316,multitask
sub-116,G09,-1410,NA,-2660,1250,NA,384,monotask
sub-116,G10,-530,200,-1600,500,370,345,multitask
sub-117,G01,-135,NA,-1635,1500,NA,424,monotask
sub-117,G02,285,50,-695,500,430,393,multitask
sub-117,G03,690,NA,-560,1250,NA,466,monotask
sub-117,G04,1010,200,-730,750,790,402,multitask
sub-117,G05,160,NA,-1090,1250,NA,429,monotask
sub-117,G06,580,350,-870,500,600,405,multitask
sub-117,G07,1045,NA,-205,1250,NA,430,monotask
sub-117,G08,1005,300,-695,500,900,409,multitask
sub-117,G09,1260,NA,-490,1750,NA,415,monotask
sub-117,G10,1270,300,-290,750,510,372,multitask
sub-118,G01,-2180,NA,-2680,500,NA,367,monotask
sub-118,G02,-1615,-150,-1595,NA,130,379,multitask
sub-118,G03,-310,NA,-560,250,NA,345,monotask
sub-118,G04,-2305,-350,-1865,NA,-90,345,multitask
sub-118,G05,-1135,NA,-1385,250,NA,320,monotask
sub-118,G06,-1160,0,-1400,250,-10,324,multitask
sub-118,G07,-190,NA,-440,250,NA,335,monotask
sub-118,G08,-1095,0,-1405,250,60,299,multitask
sub-118,G09,-445,NA,-695,250,NA,346,monotask
sub-118,G10,-1375,-150,-1125,NA,-100,340,multitask
sub-119,G01,515,NA,-735,1250,NA,423,monotask
sub-119,G02,-1925,50,-2095,NA,120,333,multitask
sub-119,G03,460,NA,-540,1000,NA,368,monotask
sub-119,G04,-465,200,-1265,500,100,305,multitask
sub-119,G05,-640,NA,-1140,500,NA,374,monotask
sub-119,G06,-990,-100,-1560,500,170,345,multitask
sub-119,G07,-410,NA,-1160,750,NA,341,monotask
sub-119,G08,-530,50,-1860,750,530,323,multitask
sub-119,G09,200,NA,-800,1000,NA,344,monotask
sub-119,G10,-255,150,-1285,250,630,359,multitask
sub-120,G01,275,NA,-225,500,NA,325,monotask
sub-120,G02,-505,200,-775,250,-180,301,multitask
sub-120,G03,120,NA,-630,750,NA,321,monotask
sub-120,G04,-75,350,-545,NA,120,310,multitask
sub-120,G05,325,NA,-175,500,NA,345,monotask
sub-120,G06,245,400,-325,250,-80,389,multitask
sub-120,G07,750,NA,NA,750,NA,323,monotask
sub-120,G08,815,100,-405,500,620,310,multitask
sub-120,G09,1000,NA,NA,1000,NA,353,monotask
sub-120,G10,1340,350,-220,500,710,326,multitask
sub-121,G01,630,NA,-120,750,NA,312,monotask
sub-121,G02,-450,100,-450,250,-350,263,multitask
sub-121,G03,900,NA,-100,1000,NA,324,monotask
sub-121,G04,-20,400,-770,250,100,304,multitask
sub-121,G05,960,NA,-290,1250,NA,382,monotask
sub-121,G06,-340,250,-440,NA,-150,272,multitask
sub-121,G07,1115,NA,-135,1250,NA,374,monotask
sub-121,G08,960,200,-540,750,550,316,multitask
sub-121,G09,1500,NA,NA,1500,NA,369,monotask
sub-121,G10,160,350,-590,250,150,329,multitask
sub-122,G01,2250,NA,NA,2250,NA,554,monotask
sub-122,G02,1340,150,-100,500,790,467,multitask
sub-122,G03,4000,NA,NA,4000,NA,617,monotask
sub-122,G04,2870,350,-100,1750,870,524,multitask
sub-122,G05,4000,NA,NA,4000,NA,585,monotask
sub-122,G06,2920,500,-100,1750,770,508,multitask
sub-122,G07,4250,NA,NA,4250,NA,605,monotask
sub-122,G08,3170,650,-50,1750,820,478,multitask
sub-122,G09,4750,NA,NA,4750,NA,622,monotask
sub-122,G10,3130,400,-100,2000,830,582,multitask
sub-123,G01,265,NA,-485,750,NA,397,monotask
sub-123,G02,960,700,-730,250,740,382,multitask
sub-123,G03,195,NA,-555,750,NA,405,monotask
sub-123,G04,-90,400,-1490,250,750,364,multitask
sub-123,G05,230,NA,-520,750,NA,368,monotask
sub-123,G06,1320,300,-240,500,760,393,multitask
sub-123,G07,665,NA,-85,750,NA,415,monotask
sub-123,G08,820,450,-610,250,730,380,multitask
sub-123,G09,1080,NA,-170,1250,NA,454,monotask
sub-123,G10,550,550,-1260,500,760,368,multitask
sub-124,G01,1500,NA,NA,1500,NA,365,monotask
sub-124,G02,1110,400,-720,500,930,335,multitask
sub-124,G03,2115,NA,-635,2750,NA,371,monotask
sub-124,G04,350,150,-900,500,600,367,multitask
sub-124,G05,2750,NA,NA,2750,NA,383,monotask
sub-124,G06,1520,150,-600,1000,970,356,multitask
sub-124,G07,2750,NA,NA,2750,NA,391,monotask
sub-124,G08,800,100,-840,500,1040,369,multitask
sub-124,G09,2750,NA,NA,2750,NA,381,monotask
sub-124,G10,285,0,-935,750,470,308,multitask
sub-125,G01,-375,NA,-875,500,NA,285,monotask
sub-125,G02,355,450,-1175,500,580,343,multitask
sub-125,G03,-1025,NA,-1525,500,NA,332,monotask
sub-125,G04,-575,200,-975,NA,200,344,multitask
sub-125,G05,365,NA,-385,750,NA,392,monotask
sub-125,G06,-30,250,-1300,250,770,339,multitask
sub-125,G07,495,NA,-255,750,NA,344,monotask
sub-125,G08,0,-150,-970,500,620,314,multitask
sub-125,G09,365,NA,-135,500,NA,334,monotask
sub-125,G10,485,200,-895,500,680,345,multitask
sub-126,G01,1210,NA,-540,1750,NA,400,monotask
sub-126,G02,1390,150,-420,1000,660,363,multitask
sub-126,G03,2465,NA,-785,3250,NA,489,monotask
sub-126,G04,890,0,-950,1250,590,375,multitask
sub-126,G05,2580,NA,-670,3250,NA,575,monotask
sub-126,G06,1455,150,-685,1250,740,444,multitask
sub-126,G07,3195,NA,-555,3750,NA,571,monotask
sub-126,G08,1915,300,-435,1250,800,422,multitask
sub-126,G09,3600,NA,-150,3750,NA,553,monotask
sub-126,G10,2185,200,-85,1500,570,461,multitask
sub-127,G01,1430,NA,-70,1500,NA,354,monotask
sub-127,G02,1180,350,-150,250,730,308,multitask
sub-127,G03,1315,NA,-185,1500,NA,377,monotask
sub-127,G04,1395,650,-455,500,700,342,multitask
sub-127,G05,765,NA,-485,1250,NA,384,monotask
sub-127,G06,805,450,-775,500,630,338,multitask
sub-127,G07,1715,NA,-35,1750,NA,370,monotask
sub-127,G08,2375,700,-505,1250,930,328,multitask
sub-127,G09,1565,NA,-435,2000,NA,416,monotask
sub-127,G10,2490,300,-100,1250,1040,319,multitask
sub-128,G01,1195,NA,-805,2000,NA,566,monotask
sub-128,G02,500,600,-1530,1000,430,472,multitask
sub-128,G03,5,NA,-1245,1250,NA,630,monotask
sub-128,G04,505,200,-1075,750,630,476,multitask
sub-128,G05,800,NA,-1450,2250,NA,542,monotask
sub-128,G06,1130,700,-1260,1000,690,469,multitask
sub-128,G07,725,NA,-1775,2500,NA,522,monotask
sub-128,G08,740,750,-1690,1000,680,483,multitask
sub-128,G09,1150,NA,-1600,2750,NA,588,monotask
sub-128,G10,1310,500,-1260,1250,820,495,multitask
sub-129,G01,965,NA,-35,1000,NA,335,monotask
sub-129,G02,1680,400,-120,500,900,336,multitask
sub-129,G03,1465,NA,-35,1500,NA,383,monotask
sub-129,G04,400,50,-790,500,640,339,multitask
sub-129,G05,1025,NA,-475,1500,NA,317,monotask
sub-129,G06,1645,0,-225,1250,620,315,multitask
sub-129,G07,745,NA,-505,1250,NA,351,monotask
sub-129,G08,1805,200,-155,750,1010,346,multitask
sub-129,G09,1565,NA,-435,2000,NA,314,monotask
sub-129,G10,1350,100,-170,750,670,317,multitask
sub-130,G01,1700,NA,-50,1750,NA,372,monotask
sub-130,G02,545,200,-555,500,400,340,multitask
sub-130,G03,2750,NA,NA,2750,NA,392,monotask
sub-130,G04,1500,400,-540,1000,640,363,multitask
sub-130,G05,2465,NA,-35,2500,NA,471,monotask
sub-130,G06,1070,600,-220,500,190,362,multitask
sub-130,G07,2965,NA,-35,3000,NA,438,monotask
sub-130,G08,2065,200,-235,1250,850,355,multitask
sub-130,G09,4000,NA,NA,4000,NA,459,monotask
sub-130,G10,2690,200,NA,1500,990,427,multitask
sub-131,G01,-870,NA,-1370,500,NA,301,monotask
sub-131,G02,-2500,-100,-2870,NA,470,320,multitask
sub-131,G03,-1215,NA,-1715,500,NA,257,monotask
sub-131,G04,30,250,-1240,250,770,313,multitask
sub-131,G05,-1580,NA,-1830,250,NA,262,monotask
sub-131,G06,-485,150,-1705,500,570,274,multitask
sub-131,G07,-1075,NA,-1825,750,NA,238,monotask
sub-131,G08,-330,300,-1680,500,550,294,multitask
sub-131,G09,-850,NA,-1600,750,NA,256,monotask
sub-131,G10,-380,400,-1700,500,420,281,multitask
sub-132,G01,-330,NA,-580,250,NA,293,monotask
sub-132,G02,-395,50,-765,NA,320,285,multitask
sub-132,G03,-430,NA,-680,250,NA,290,monotask
sub-132,G04,-590,150,-930,NA,190,286,multitask
sub-132,G05,-530,NA,-1030,500,NA,258,monotask
sub-132,G06,135,200,-775,250,460,261,multitask
sub-132,G07,230,NA,-520,750,NA,268,monotask
sub-132,G08,120,100,-670,250,440,274,multitask
sub-132,G09,125,NA,-625,750,NA,273,monotask
sub-132,G10,810,200,-470,250,830,270,multitask
sub-133,G01,360,NA,-140,500,NA,307,monotask
sub-133,G02,-25,-100,-755,250,580,309,multitask
sub-133,G03,-480,NA,-730,250,NA,357,monotask
sub-133,G04,-280,300,-1320,250,490,339,multitask
sub-133,G05,-280,NA,-1030,750,NA,418,monotask
sub-133,G06,-485,0,-1265,250,530,358,multitask
sub-133,G07,225,NA,-525,750,NA,350,monotask
sub-133,G08,-235,500,-1245,250,260,323,multitask
sub-133,G09,-685,NA,-1435,750,NA,345,monotask
sub-133,G10,90,200,-1300,500,690,331,multitask
sub-134,G01,915,NA,-85,1000,NA,344,monotask
sub-134,G02,1330,200,-350,500,980,326,multitask
sub-134,G03,1500,NA,NA,1500,NA,342,monotask
sub-134,G04,1330,150,-220,500,900,346,multitask
sub-134,G05,2000,NA,NA,2000,NA,342,monotask
sub-134,G06,1010,250,-350,500,610,330,multitask
sub-134,G07,2250,NA,NA,2250,NA,382,monotask
sub-134,G08,910,250,-350,500,510,334,multitask
sub-134,G09,1650,NA,-100,1750,NA,377,monotask
sub-134,G10,1190,300,-650,750,790,324,multitask
sub-135,G01,-850,NA,-1100,250,NA,248,monotask
sub-135,G02,-2280,100,-2430,NA,50,240,multitask
sub-135,G03,-305,NA,-555,250,NA,285,monotask
sub-135,G04,-885,350,-1435,NA,200,257,multitask
sub-135,G05,-750,NA,-1250,500,NA,282,monotask
sub-135,G06,-195,400,-995,250,150,255,multitask
sub-135,G07,-80,NA,-580,500,NA,300,monotask
sub-135,G08,-1435,400,-2235,250,150,256,multitask
sub-135,G09,-10,NA,-260,250,NA,304,monotask
sub-135,G10,760,500,-540,250,550,307,multitask
sub-136,G01,1950,NA,-50,2000,NA,503,monotask
sub-136,G02,550,150,-1040,750,690,470,multitask
sub-136,G03,1650,NA,-350,2000,NA,505,monotask
sub-136,G04,2690,750,-150,1000,1090,497,multitask
sub-136,G05,2100,NA,-400,2500,NA,515,monotask
sub-136,G06,890,200,-650,750,590,441,multitask
sub-136,G07,2515,NA,-485,3000,NA,544,monotask
sub-136,G08,2490,300,-220,1500,910,489,multitask
sub-136,G09,3950,NA,-50,4000,NA,533,monotask
sub-136,G10,3400,750,-50,1500,1200,543,multitask
sub-137,G01,-525,NA,-525,NA,NA,351,monotask
sub-137,G02,-1055,100,-1605,NA,450,330,multitask
sub-137,G03,-120,NA,-370,250,NA,367,monotask
sub-137,G04,-530,250,-1320,NA,540,351,multitask
sub-137,G05,-325,NA,-575,250,NA,371,monotask
sub-137,G06,-285,350,-1175,NA,540,317,multitask
sub-137,G07,345,NA,-155,500,NA,339,monotask
sub-137,G08,125,150,-645,NA,620,259,multitask
sub-137,G09,395,NA,-105,500,NA,297,monotask
sub-137,G10,-325,100,-1105,NA,680,265,multitask
sub-138,G01,195,NA,-805,1000,NA,333,monotask
sub-138,G02,1085,300,-735,750,770,335,multitask
sub-138,G03,-1135,NA,-1635,500,NA,320,monotask
sub-138,G04,675,350,-995,500,820,332,multitask
sub-138,G05,0,NA,-1000,1000,NA,259,monotask
sub-138,G06,1085,400,-665,500,850,305,multitask
sub-138,G07,605,NA,-395,1000,NA,257,monotask
sub-138,G08,1120,350,-660,750,680,314,multitask
sub-138,G09,1455,NA,-295,1750,NA,333,monotask
sub-138,G10,1340,500,-660,750,750,367,multitask
sub-139,G01,1250,NA,NA,1250,NA,308,monotask
sub-139,G02,520,200,-310,250,380,344,multitask
sub-139,G03,965,NA,-35,1000,NA,361,monotask
sub-139,G04,1365,450,-85,500,500,363,multitask
sub-139,G05,1200,NA,-50,1250,NA,344,monotask
sub-139,G06,1420,300,-50,750,420,363,multitask
sub-139,G07,1750,NA,NA,1750,NA,341,monotask
sub-139,G08,625,750,-335,250,-40,346,multitask
sub-139,G09,1250,NA,NA,1250,NA,360,monotask
sub-139,G10,880,100,-310,750,340,353,multitask
sub-140,G01,1700,NA,-50,1750,NA,421,monotask
sub-140,G02,1320,100,-220,750,690,444,multitask
sub-140,G03,2065,NA,-185,2250,NA,463,monotask
sub-140,G04,1395,250,-785,1250,680,522,multitask
sub-140,G05,2425,NA,-1075,3500,NA,750,monotask
sub-140,G06,880,0,-400,750,530,511,multitask
sub-140,G07,1500,NA,-750,2250,NA,486,monotask
sub-140,G08,2195,450,-435,1250,930,475,multitask
sub-140,G09,2350,NA,-400,2750,NA,481,monotask
sub-140,G10,2060,550,-150,1000,660,441,multitask
sub-141,G01,-1540,NA,-1790,250,NA,298,monotask
sub-141,G02,-790,50,-1100,250,10,291,multitask
sub-141,G03,-865,NA,-1365,500,NA,332,monotask
sub-141,G04,-2045,50,-1855,NA,-240,293,multitask
sub-141,G05,-985,NA,-1485,500,NA,286,monotask
sub-141,G06,-1830,0,-2050,NA,220,328,multitask
sub-141,G07,-1215,NA,-1965,750,NA,366,monotask
sub-141,G08,-1510,-100,-1760,NA,350,380,multitask
sub-141,G09,-675,NA,-925,250,NA,335,monotask
sub-141,G10,-1085,150,-2105,500,370,401,multitask
sub-142,G01,1565,NA,-185,1750,NA,491,monotask
sub-142,G02,445,400,-225,250,20,402,multitask
sub-142,G03,2115,NA,-135,2250,NA,552,monotask
sub-142,G04,2290,650,-370,1000,1010,506,multitask
sub-142,G05,1580,NA,-420,2000,NA,595,monotask
sub-142,G06,3025,950,-35,1250,860,558,multitask
sub-142,G07,3315,NA,-185,3500,NA,662,monotask
sub-142,G08,1345,650,-805,750,750,518,multitask
sub-142,G09,4115,NA,-385,4500,NA,674,monotask
sub-142,G10,1920,400,-400,1250,670,555,multitask
sub-143,G01,-300,NA,-800,500,NA,318,monotask
sub-143,G02,-1750,-50,-1560,NA,-140,326,multitask
sub-143,G03,-655,NA,-905,250,NA,385,monotask
sub-143,G04,-1605,-500,-1915,250,560,329,multitask
sub-143,G05,-65,NA,-1065,1000,NA,385,monotask
sub-143,G06,-1195,0,-1495,250,50,336,multitask
sub-143,G07,755,NA,-245,1000,NA,338,monotask
sub-143,G08,-1400,-350,-1300,NA,250,321,multitask
sub-143,G09,845,NA,-155,1000,NA,322,monotask
sub-143,G10,-885,0,-1245,250,110,280,multitask
sub-144,G01,3700,NA,-50,3750,NA,587,monotask
sub-144,G02,3360,1000,-520,1750,1130,541,multitask
sub-144,G03,4245,NA,-255,4500,NA,664,monotask
sub-144,G04,3095,600,-385,1750,1130,511,multitask
sub-144,G05,5330,NA,-170,5500,NA,724,monotask
sub-144,G06,3640,800,-350,2250,940,526,multitask
sub-144,G07,4880,NA,-370,5250,NA,779,monotask
sub-144,G08,2205,350,-705,1750,810,510,multitask
sub-144,G09,5165,NA,-335,5500,NA,724,monotask
sub-144,G10,400,200,-930,1000,130,408,multitask
sub-145,G01,-2270,NA,-2520,250,NA,228,monotask
sub-145,G02,-905,50,-1135,NA,180,246,multitask
sub-145,G03,-1905,NA,-2405,500,NA,252,monotask
sub-145,G04,-770,100,-1630,250,510,285,multitask
sub-145,G05,-1485,NA,-1985,500,NA,238,monotask
sub-145,G06,-2025,100,-2535,250,160,259,multitask
sub-145,G07,-1650,NA,-2150,500,NA,264,monotask
sub-145,G08,-1100,-100,-1740,250,490,285,multitask
sub-145,G09,-625,NA,-1125,500,NA,238,monotask
sub-145,G10,-950,150,-1850,250,500,263,multitask
sub-146,G01,2000,NA,NA,2000,NA,554,monotask
sub-146,G02,1930,50,-120,1000,1000,555,multitask
sub-146,G03,2200,NA,-50,2250,NA,598,monotask
sub-146,G04,2010,250,-140,1000,900,498,multitask
sub-146,G05,2750,NA,NA,2750,NA,586,monotask
sub-146,G06,2115,400,-485,1500,700,533,multitask
sub-146,G07,2680,NA,-70,2750,NA,573,monotask
sub-146,G08,1940,0,-100,1250,790,529,multitask
sub-146,G09,3250,NA,NA,3250,NA,530,monotask
sub-146,G10,1785,300,-155,1000,640,488,multitask
sub-147,G01,930,NA,-70,1000,NA,259,monotask
sub-147,G02,1290,350,-420,500,860,243,multitask
sub-147,G03,1630,NA,-120,1750,NA,304,monotask
sub-147,G04,1400,750,-590,500,740,266,multitask
sub-147,G05,2930,NA,-70,3000,NA,435,monotask
sub-147,G06,1080,350,-880,1000,610,322,multitask
sub-147,G07,1565,NA,-685,2250,NA,421,monotask
sub-147,G08,1575,400,-715,1000,890,322,multitask
sub-147,G09,3080,NA,-420,3500,NA,552,monotask
sub-147,G10,2255,600,-255,1000,910,333,multitask
sub-148,G01,310,NA,-440,750,NA,305,monotask
sub-148,G02,-690,-50,-800,250,-90,268,multitask
sub-148,G03,1215,NA,-35,1250,NA,279,monotask
sub-148,G04,-185,100,-1005,250,470,261,multitask
sub-148,G05,1080,NA,-170,1250,NA,320,monotask
sub-148,G06,380,-100,-650,500,630,266,multitask
sub-148,G07,1980,NA,-520,2500,NA,353,monotask
sub-148,G08,1470,200,-150,500,920,268,multitask
sub-148,G09,1350,NA,-650,2000,NA,317,monotask
sub-148,G10,710,200,-770,500,780,277,multitask
sub-149,G01,-1975,NA,-2475,500,NA,298,monotask
sub-149,G02,-1740,0,-1890,250,-100,245,multitask
sub-149,G03,-300,NA,-800,500,NA,347,monotask
sub-149,G04,-1370,100,-2430,500,460,269,multitask
sub-149,G05,-1470,NA,-2220,750,NA,323,monotask
sub-149,G06,-2820,-100,-2870,250,-100,259,multitask
sub-149,G07,-1165,NA,-1665,500,NA,308,monotask
sub-149,G08,-1640,0,-2000,250,110,287,multitask
sub-149,G09,-1415,NA,-2165,750,NA,318,monotask
sub-149,G10,-1330,100,-2390,500,460,305,multitask
sub-150,G01,2260,NA,-740,3000,NA,652,monotask
sub-150,G02,1850,300,-300,1000,850,531,multitask
sub-150,G03,3630,NA,-370,4000,NA,623,monotask
sub-150,G04,1195,150,-855,1000,900,560,multitask
sub-150,G05,1945,NA,-1055,3000,NA,593,monotask
sub-150,G06,2765,550,-735,2000,950,563,multitask
sub-150,G07,2225,NA,-1525,3750,NA,687,monotask
sub-150,G08,2005,350,-755,1500,910,550,multitask
sub-150,G09,3015,NA,-985,4000,NA,665,monotask
sub-150,G10,1290,700,-1570,1250,910,524,multitask
sub-151,G01,950,NA,-50,1000,NA,280,monotask
sub-151,G02,770,550,-560,250,530,308,multitask
sub-151,G03,815,NA,-185,1000,NA,314,monotask
sub-151,G04,2005,800,-85,500,790,304,multitask
sub-151,G05,965,NA,-35,1000,NA,335,monotask
sub-151,G06,1615,400,-385,750,850,313,multitask
sub-151,G07,710,NA,-290,1000,NA,327,monotask
sub-151,G08,1315,300,-385,500,900,319,multitask
sub-151,G09,1400,NA,-100,1500,NA,316,monotask
sub-151,G10,1390,350,-350,500,890,324,multitask
sub-152,G01,580,NA,-420,1000,NA,353,monotask
sub-152,G02,1365,550,-255,500,570,357,multitask
sub-152,G03,1500,NA,NA,1500,NA,352,monotask
sub-152,G04,1910,650,-100,500,860,339,multitask
sub-152,G05,1450,NA,-50,1500,NA,329,monotask
sub-152,G06,1285,650,-455,250,840,335,multitask
sub-152,G07,1500,NA,NA,1500,NA,323,monotask
sub-152,G08,1850,450,-170,500,1070,332,multitask
sub-152,G09,1750,NA,NA,1750,NA,304,monotask
sub-152,G10,1150,250,-370,500,770,343,multitask
sub-153,G01,1150,NA,-100,1250,NA,515,monotask
sub-153,G02,1310,300,-220,250,980,487,multitask
sub-153,G03,2150,NA,-100,2250,NA,444,monotask
sub-153,G04,2340,1100,-300,750,790,457,multitask
sub-153,G05,1950,NA,-50,2000,NA,436,monotask
sub-153,G06,1880,400,-50,750,780,437,multitask
sub-153,G07,2750,NA,NA,2750,NA,446,monotask
sub-153,G08,2315,850,-205,750,920,369,multitask
sub-153,G09,3250,NA,NA,3250,NA,503,monotask
sub-153,G10,2350,400,-150,1250,850,427,multitask
sub-154,G01,-1840,NA,-2090,250,NA,258,monotask
sub-154,G02,-870,50,-2000,500,580,278,multitask
sub-154,G03,-1255,NA,-1755,500,NA,349,monotask
sub-154,G04,-310,100,-1120,250,460,374,multitask
sub-154,G05,-350,NA,-1100,750,NA,409,monotask
sub-154,G06,-1235,-50,-1545,250,110,356,multitask
sub-154,G07,-250,NA,-1250,1000,NA,405,monotask
sub-154,G08,-380,-100,-1330,500,550,398,multitask
sub-154,G09,140,NA,-860,1000,NA,385,monotask
sub-154,G10,-285,100,-1275,500,390,376,multitask
sub-155,G01,230,NA,-770,1000,NA,365,monotask
sub-155,G02,200,-150,-490,250,590,354,multitask
sub-155,G03,1150,NA,-100,1250,NA,368,monotask
sub-155,G04,1000,600,-520,250,670,318,multitask
sub-155,G05,-270,NA,-770,500,NA,354,monotask
sub-155,G06,1220,250,-420,500,890,310,multitask
sub-155,G07,775,NA,-475,1250,NA,314,monotask
sub-155,G08,480,650,-910,250,490,297,multitask
sub-155,G09,950,NA,-50,1000,NA,333,monotask
sub-155,G10,-385,150,-1405,250,620,297,multitask
sub-156,G01,25,NA,-475,500,NA,338,monotask
sub-156,G02,-1230,150,-1580,250,-50,343,multitask
sub-156,G03,845,NA,-405,1250,NA,415,monotask
sub-156,G04,-480,600,-1550,500,-30,454,multitask
sub-156,G05,260,NA,-490,750,NA,376,monotask
sub-156,G06,100,450,-890,250,290,343,multitask
sub-156,G07,495,NA,-505,1000,NA,314,monotask
sub-156,G08,-360,450,-1280,250,220,290,multitask
sub-156,G09,-90,NA,-590,500,NA,397,monotask
sub-156,G10,850,850,-790,250,540,372,multitask
sub-157,G01,700,NA,-50,750,NA,229,monotask
sub-157,G02,770,0,-150,NA,920,288,multitask
sub-157,G03,900,NA,-100,1000,NA,255,monotask
sub-157,G04,325,-150,-385,250,610,261,multitask
sub-157,G05,1200,NA,-50,1250,NA,247,monotask
sub-157,G06,1130,50,-170,250,1000,335,multitask
sub-157,G07,1200,NA,-50,1250,NA,318,monotask
sub-157,G08,1390,100,-300,500,1090,262,multitask
sub-157,G09,1280,NA,-470,1750,NA,342,monotask
sub-157,G10,1640,250,-50,500,940,329,multitask
sub-158,G01,-1220,NA,-1470,250,NA,192,monotask
sub-158,G02,-1925,-50,-2045,NA,170,170,multitask
sub-158,G03,-705,NA,-955,250,NA,199,monotask
sub-158,G04,-1090,250,-1700,NA,360,193,multitask
sub-158,G05,-1595,NA,-1845,250,NA,202,monotask
sub-158,G06,-1160,50,-1680,250,220,209,multitask
sub-158,G07,-2100,NA,-2350,250,NA,200,monotask
sub-158,G08,-900,500,-2160,250,510,211,multitask
sub-158,G09,-490,NA,-990,500,NA,217,monotask
sub-158,G10,-1160,150,-1720,250,160,226,multitask
sub-159,G01,120,NA,-380,500,NA,268,monotask
sub-159,G02,-585,200,-1455,250,420,243,multitask
sub-159,G03,-55,NA,-805,750,NA,289,monotask
sub-159,G04,-1255,450,-2335,250,380,275,multitask
sub-159,G05,195,NA,-555,750,NA,319,monotask
sub-159,G06,-60,650,-1610,500,400,278,multitask
sub-159,G07,70,NA,-680,750,NA,284,monotask
sub-159,G08,-920,400,-2160,250,590,271,multitask
sub-159,G09,355,NA,-395,750,NA,325,monotask
sub-159,G10,320,400,-1410,500,830,296,multitask
sub-160,G01,1260,300,-560,750,770,360,monotask
sub-160,G02,1260,300,-560,750,770,360,multitask
sub-160,G03,2595,NA,-155,2750,NA,467,monotask
sub-160,G04,920,350,-1180,1000,750,344,multitask
sub-160,G05,1820,NA,-680,2500,NA,448,monotask
sub-160,G06,1130,50,-1040,1250,870,361,multitask
sub-160,G07,3465,NA,-35,3500,NA,497,monotask
sub-160,G08,1550,100,-810,1500,760,389,multitask
sub-160,G09,3645,NA,-105,3750,NA,520,monotask
sub-160,G10,1860,400,-880,1500,840,413,multitask
sub-161,G01,130,NA,-370,500,NA,317,monotask
sub-161,G02,285,300,-755,250,490,300,multitask
sub-161,G03,580,NA,-170,750,NA,371,monotask
sub-161,G04,335,150,-935,500,620,334,multitask
sub-161,G05,315,NA,-435,750,NA,376,monotask
sub-161,G06,370,300,-1170,500,740,338,multitask
sub-161,G07,1465,NA,-35,1500,NA,354,monotask
sub-161,G08,1460,350,-300,500,910,355,multitask
sub-161,G09,1615,NA,-135,1750,NA,372,monotask
sub-161,G10,570,250,-1120,500,940,396,multitask
sub-162,G01,-1450,NA,-2200,750,NA,305,monotask
sub-162,G02,-1730,250,-2660,250,430,299,multitask
sub-162,G03,-1885,NA,-2635,750,NA,330,monotask
sub-162,G04,-750,0,-1430,250,430,355,multitask
sub-162,G05,-850,NA,-1600,750,NA,381,monotask
sub-162,G06,470,650,-1170,250,740,355,multitask
sub-162,G07,-810,NA,-1310,500,NA,393,monotask
sub-162,G08,-780,350,-2130,500,500,337,multitask
sub-162,G09,-455,NA,-2205,1750,NA,354,monotask
sub-162,G10,195,200,-1065,250,810,329,multitask
sub-163,G01,1615,NA,-135,1750,NA,491,monotask
sub-163,G02,550,250,-400,250,450,425,multitask
sub-163,G03,1500,NA,NA,1500,NA,462,monotask
sub-163,G04,1120,700,-610,500,530,438,multitask
sub-163,G05,1500,NA,NA,1500,NA,529,monotask
sub-163,G06,1755,650,-385,500,990,458,multitask
sub-163,G07,2380,NA,-120,2500,NA,736,monotask
sub-163,G08,1920,650,-100,500,870,499,multitask
sub-163,G09,2365,NA,-385,2750,NA,810,monotask
sub-163,G10,1990,600,-100,750,740,466,multitask
sub-164,G01,595,NA,-405,1000,NA,303,monotask
sub-164,G02,20,150,-1340,250,960,327,multitask
sub-164,G03,450,NA,-300,750,NA,327,monotask
sub-164,G04,270,50,-910,250,880,398,multitask
sub-164,G05,1250,NA,NA,1250,NA,342,monotask
