"Participant","prob_stop","ssd","stop_rt","nonstop_rt","ssrt_mean","ssrt_integration"
"001",51.8518518518519,334.259259259259,463.678571428571,558.861635220126,224.602375960867,228.740740740741
"002",48.0769230769231,333.653846153846,462.72,591.7,258.046153846154,200.346153846154
"003",43.3962264150943,341.509433962264,509.260869565217,561.525641025641,220.016207063377,210.490566037736
"004",46.2962962962963,726.851851851852,755,867.125,140.273148148148,159.148148148148
"005",43.3962264150943,200,397.347826086957,425.38125,225.38125,206
"006",41.5094339622642,262.264150943396,441.681818181818,569.46875,307.204599056604,230.735849056604
"007",48.1481481481482,150.925925925926,357.846153846154,372.937106918239,222.011180992313,212.074074074074
"008",44.4444444444444,452.777777777778,619.583333333333,700.974683544304,248.196905766526,208.222222222222
"009",73.5849056603774,74.5283018867924,287.128205128205,315.157534246575,232.952948113208,272.471698113208
"010",47.1698113207547,301.88679245283,506.16,589.798742138365,285.98195754717,261.11320754717
"011",54.7169811320755,120.754716981132,375.206896551724,417.837662337662,293.283018867925,291.245283018868
"012",48.1481481481482,131.481481481481,338.423076923077,345.962264150943,214.480782669462,208.518518518519
"013",50,150.925925925926,366.703703703704,398.230769230769,245.725972808251,237.074074074074
"014",45.2830188679245,171.698113207547,380.666666666667,388.246835443038,215.251886792453,195.301886792453
"015",48.1481481481482,287.962962962963,394.538461538462,472.23417721519,184.271214252227,151.037037037037
"016",50.9433962264151,133.018867924528,349.37037037037,387.512658227848,253.268632075472,254.981132075472
"017",48.1481481481482,162.037037037037,340.615384615385,406.360759493671,244.323722456634,219.962962962963
"018",73.5849056603774,72.6415094339623,367.051282051282,354.921428571429,272.408490566038,300.358490566038
"019",48.1481481481482,184.259259259259,380.5,390.194968553459,205.9357092942,199.740740740741
"020",46.2962962962963,335.185185185185,465.12,551.509803921569,211.321225071225,144.814814814815
"021",53.7037037037037,463.888888888889,465,643.145695364238,167.58547008547,173.111111111111
"022",49.0566037735849,392.452830188679,430.307692307692,582.132911392405,185.509669811321,184.547169811321
"023",51.8518518518519,263.888888888889,424.642857142857,481.605095541401,218.674402250352,201.111111111111
"024",49.0566037735849,309.433962264151,412.461538461538,545.5,234.081761006289,189.566037735849
"025",55.5555555555556,382.407407407407,440.1,536.383116883117,152.12807646356,161.592592592593
"026",45.0980392156863,221.56862745098,372.217391304348,422.080745341615,200.512117890634,176.43137254902
"027",53.7037037037037,137.962962962963,337.379310344828,370.993630573248,233.426974143955,226.037037037037
"028",46.2962962962963,212.037037037037,365.08,421.415094339623,209.378057302586,185.962962962963
"029",37.037037037037,706.481481481482,782.35,847.751773049645,141.270291568164,89.5185185185185
"030",46.1538461538462,249.038461538462,379.125,441.571428571429,192.532967032967,168.961538461538
"031",38.8888888888889,799.074074074074,932.190476190476,957.301369863014,158.22729578894,151.925925925926
"032",45.2830188679245,190.566037735849,400.083333333333,435.45,244.883962264151,219.433962264151
"033",50,156.481481481481,362.074074074074,374.216560509554,216.141160027952,211.518518518519
"034",48.1481481481482,510.185185185185,584.346153846154,745.279569892473,230.299025341131,498.814814814815
"035",50,225,415.592592592593,475.411392405063,249.729559748428,236
"036",50,576.851851851852,657.777777777778,745.738562091503,168.886710239651,196.148148148148
"037",42.5925925925926,452.777777777778,563.521739130435,715.647798742138,262.870020964361,211.222222222222
"038",50,206.481481481481,399.296296296296,417.094339622641,210.61285814116,202.518518518519
"039",52.8301886792453,125.471698113208,343.5,358.012738853503,230.853301886792,229.528301886792
"040",48.1481481481482,276.851851851852,379.115384615385,464.405063291139,186.060097833683,164.148148148148
"041",50,174.074074074074,360.333333333333,372.490566037736,198.416491963662,183.925925925926
"042",51.9230769230769,121.153846153846,385.925925925926,368.973509933775,242.852365026278,236.846153846154
"043",41.5094339622642,424.528301886792,538.545454545455,644.43125,219.902948113208,189.471698113208
"044",49.0196078431373,160.78431372549,389.72,385.503759398496,222.845315904139,220.21568627451
"045",47.1698113207547,343.396226415094,433.52,526.635220125786,183.238993710692,158.603773584906
"046",48.1481481481482,367.592592592593,472.884615384615,565.911949685535,198.319357092942,194.407407407407
"047",49.0566037735849,190.566037735849,405.269230769231,430.100628930818,239.602712264151,220.433962264151
"048",45.2830188679245,349.056603773585,432.541666666667,581.61875,232.562146226415,188.943396226415
"049",51.8518518518519,163.888888888889,361.25,393.394904458599,228.513626834382,217.111111111111
"050",50,149.074074074074,321.148148148148,357.267515923567,207.164919636618,200.925925925926
"051",50,154.62962962963,371.259259259259,401.240506329114,245.772886093641,216.37037037037
"052",49.0196078431373,152.941176470588,309.04,371.777070063694,214.731663035585,198.058823529412
"053",50,184.259259259259,380,408.365384615385,223.224817173862,206.740740740741
"054",50,165.740740740741,374.555555555556,429.980132450331,260.544069385842,252.259259259259
"055",49.0566037735849,320.754716981132,441,550.4625,229.707783018868,226.245283018868
"056",44.4444444444444,732.407407407407,797.583333333333,878.437908496732,146.030501089325,158.592592592593
"057",44.4444444444444,319.444444444444,399.666666666667,486.316455696203,166.197064989518,110.555555555556
"058",51.8518518518519,152.777777777778,322.714285714286,371.15923566879,218.140461215933,204.222222222222
"059",49.0566037735849,142.452830188679,397.807692307692,441.082278481013,296.811320754717,268.547169811321
"060",44.2307692307692,293.269230769231,438.739130434783,507,213.730769230769,203.730769230769
"061",50,212.037037037037,397.222222222222,421.96855345912,209.931516422082,191.962962962963
"062",48.0769230769231,206.730769230769,403.36,422.6875,215.461777353082,195.269230769231
"063",50.9433962264151,203.77358490566,357.37037037037,403.58,191.28266509434,189.22641509434
"064",48.1481481481482,387.962962962963,508.576923076923,604.564102564103,216.60113960114,160.037037037037
"065",45.2830188679245,267.924528301887,424.916666666667,513.158940397351,238.512180558873,166.075471698113
"066",53.7037037037037,153.703703703704,320.103448275862,346.151315789474,188.77428371768,188.296296296296
"067",50,412.037037037037,500.296296296296,575.106918238994,163.069881201957,173.962962962963
"068",50.9433962264151,163.207547169811,335.481481481481,383.084967320261,222.779952830189,202.792452830189
"069",49.0566037735849,135.849056603774,349.384615384615,368.422077922078,229.232193396226,235.150943396226
"070",49.0566037735849,179.245283018868,377.461538461538,390.44375,211.198466981132,200.754716981132
"071",47.1698113207547,140.566037735849,343.76,375.987096774194,231.327712264151,214.433962264151
"072",48.1481481481482,150.925925925926,323.846153846154,348.770700636943,197.074074074074,197.074074074074
"073",45.2830188679245,316.981132075472,440.916666666667,587.883116883117,269.211175616836,190.018867924528
"074",53.7037037037037,162.962962962963,381.413793103448,388.305194805195,222.56533892383,218.037037037037
"075",46.2962962962963,262.037037037037,377.24,518.949044585987,255.152836380685,213.962962962963
"076",68.5185185185185,79.6296296296296,310.837837837838,380.133333333333,294.743788091889,307.37037037037
"077",44.4444444444444,402.777777777778,532.875,646.365384615385,243.587606837607,211.222222222222
"078",51.9230769230769,260.576923076923,400.259259259259,440.6625,178.851648351648,157.423076923077
