"Participant","switchCost","mean_latency_switch","mean_latency_noswitch","percentage_resp_correct","percentage_excluded_data"
"001",104.550933786078,720.631578947368,616.08064516129,0.9765625,4.8
"002",266.701960784314,901.56862745098,634.866666666667,0.9609375,9.75609756097561
"003",457.957627118644,1343.45762711864,885.5,0.9921875,4.7244094488189
"004",221,993,772,0.953125,2.45901639344263
"005",266.822580645161,934,667.177419354839,0.9765625,1.6
"006",371.316263632053,1124.35135135135,753.035087719298,0.90625,18.9655172413793
"007",464.848584595128,1060.81632653061,595.967741935484,0.9375,7.5
"008",116.580575317043,705.301886792453,588.72131147541,0.9765625,8.8
"009",156.260327868853,754.08,597.819672131148,0.9296875,6.72268907563025
"010",331.142780172414,1011.18965517241,680.046875,1,4.6875
"011",446.406026365349,1371.71111111111,925.305084745763,0.859375,5.45454545454546
"012",502.127213114754,1461.16,959.032786885246,0.9296875,6.72268907563025
"013",174.090136054422,855.673469387755,681.583333333333,0.9375,9.16666666666667
"014",304.895457033388,1068.48275862069,763.587301587302,0.9921875,4.7244094488189
"015",358.665817770232,1058.45614035088,699.790322580645,0.96875,4.03225806451613
"016",321.196329254727,1051.29310344828,730.096774193548,0.9609375,2.4390243902439
"017",385.192390968141,1133.71698113208,748.524590163934,0.9765625,8.8
"018",87.8333333333334,748.5,660.666666666667,0.9296875,9.2436974789916
"019",320.129032258065,1446.90322580645,1126.77419354839,0.9921875,2.36220472440944
"020",96.8722548716363,965.150943396226,868.27868852459,0.96875,8.06451612903226
"021",406.330367074527,1097.12068965517,690.790322580645,0.984375,4.76190476190477
"022",30.8143800440205,681.021276595745,650.206896551724,0.96875,15.3225806451613
"023",303.986943164363,1290.67741935484,986.690476190476,0.578125,1.35135135135135
"024",623.229432624114,1459.21276595745,835.983333333333,0.8515625,1.8348623853211
"025",356.440838404327,1243.50980392157,887.068965517241,0.9296875,8.40336134453782
"026",517.785630498534,1606.67272727273,1088.88709677419,0.9609375,4.87804878048781
"027",484.614601018676,1446.92105263158,962.306451612903,0.859375,9.09090909090909
"028",446.983554712207,1368.72549019608,921.741935483871,0.9453125,6.61157024793388
"029",502.251412429379,1407.16666666667,904.915254237288,0.9765625,9.6
"030",444.293906810036,1304.27777777778,859.983870967742,0.96875,6.45161290322581
"031",120.049645390071,927.382978723404,807.333333333333,0.953125,9.83606557377049
"032",527.357478005865,1268.30909090909,740.951612903226,0.984375,7.14285714285714
"033",468.57079970653,1486.1914893617,1017.62068965517,0.875,6.25
NA,NA,NA,NA,NA,NA
"035",399.423728813559,1113.42372881356,714,0.9921875,3.93700787401575
"036",560.776380153739,1606.92452830189,1046.14814814815,0.921875,9.32203389830508
"037",599.497354497355,1565.7037037037,966.206349206349,0.921875,0.847457627118642
"038",407.560734463277,1202.91666666667,795.35593220339,0.921875,9.32203389830508
"039",247.814187068424,965.407407407407,717.593220338983,0.9453125,6.61157024793388
"040",396.593837535014,1132.45098039216,735.857142857143,0.9765625,8.8
"041",198.403576751118,936.436363636364,738.032786885246,0.9765625,7.2
"042",410.592176870748,1356.77551020408,946.183333333333,0.8984375,5.21739130434783
"043",320.656349206349,1155.78333333333,835.126984126984,1,3.90625
"044",286.407096171802,1200.13725490196,913.730158730159,0.96875,8.06451612903226
"045",359.858651026393,1151.89090909091,792.032258064516,0.953125,4.09836065573771
"046",276.103125,948.15,672.046875,0.9921875,2.36220472440944
"047",170.44262295082,1074.90163934426,904.459016393443,0.9921875,3.93700787401575
"048",201.182445141066,1666.52727272727,1465.34482758621,0.9765625,9.6
"049",312.896717600453,1001.71929824561,688.822580645161,0.9609375,3.2520325203252
"050",320.956179066835,912.480769230769,591.524590163934,0.984375,10.3174603174603
"051",355.432748538012,1193.54385964912,838.111111111111,0.9921875,5.51181102362205
"052",573.91462585034,1549.89795918367,975.983333333333,0.96875,12.0967741935484
"053",163.48001150417,1101.0701754386,937.590163934426,0.953125,3.27868852459017
"054",356.840418353576,1644.98076923077,1288.14035087719,0.8828125,3.53982300884956
"055",443.938620689655,1617.18,1173.24137931034,0.9296875,9.2436974789916
"056",326.553134248049,1117.71186440678,791.15873015873,0.9921875,3.93700787401575
"057",376.44,1534.04,1157.6,0.90625,5.17241379310345
"058",184.396168582375,938.844444444444,754.448275862069,0.921875,12.7118644067797
"059",1201.44146825397,2202.52083333333,1001.07936507937,0.9375,7.5
"060",184.48846387371,962.685185185185,778.196721311475,0.984375,8.73015873015873
"061",407.075157232704,1250.35849056604,843.283333333333,0.96875,8.87096774193549
"062",279.688155922039,987.326086956522,707.637931034483,0.9140625,11.1111111111111
"063",581.147916666667,1254.86666666667,673.71875,0.9921875,14.1732283464567
"064",454.18099698896,1322.83673469388,868.655737704918,0.9140625,5.98290598290598
"065",207.573101371696,1078.16326530612,870.590163934426,0.984375,12.6984126984127
"066",298.279671332928,962.037735849057,663.758064516129,0.9375,4.16666666666666
"067",175.345667299178,909.039215686274,733.693548387097,0.953125,7.37704918032787
"068",178.55637336902,975.244897959184,796.688524590164,0.953125,9.83606557377049
"069",193.176307007786,880.48275862069,687.306451612903,0.9765625,4
"070",598.338017174083,1608.14754098361,1009.80952380952,0.9921875,2.36220472440944
"071",212.5091714105,942.960784313726,730.451612903226,0.921875,4.23728813559322
"072",411.621693121693,1161.24074074074,749.619047619048,0.9296875,1.68067226890757
"073",219.05291005291,972.481481481482,753.428571428571,0.9921875,7.87401574803149
"074",956.22991202346,2099.1935483871,1142.96363636364,0.6796875,1.14942528735632
"075",735.441028225806,1781.61290322581,1046.171875,0.984375,0
"076",825.060689655172,1971.44,1146.37931034483,0.8828125,4.42477876106194
"077",641.213362068966,1566.27586206897,925.0625,0.984375,3.17460317460317
"078",315.7803897309,1163.07547169811,847.295081967213,0.9296875,4.2016806722689
"079",293.258101851852,1293.35185185185,1000.09375,0.953125,3.27868852459017
"080",337.940303124033,1040.16981132075,702.229508196721,0.96875,8.06451612903226
"081",149.088992974239,849.285714285714,700.196721311475,0.9609375,10.5691056910569
"082",469.964691046658,1237.53846153846,767.573770491803,0.953125,7.37704918032787
"083",482.148745519713,1326.27777777778,844.129032258065,0.953125,4.91803278688525
"084",333.951123374064,1099.06976744186,765.118644067797,0.8671875,8.1081081081081
"085",284.827380952381,1101.58928571429,816.761904761905,0.9921875,6.2992125984252
"086",298.12750385208,1358.56818181818,1060.4406779661,0.875,8.03571428571429
