"Participant","propCorrect"
"001",0.916666666666667
"002",0.75
"003",0.916666666666667
"004",0.5
"005",0.75
"006",0.833333333333333
"007",1
"008",0.916666666666667
"009",0.75
"010",0.583333333333333
"011",0.416666666666667
"012",0.833333333333333
"013",0.416666666666667
"014",0.833333333333333
"015",1
"016",0.916666666666667
"017",0.5
"018",0.916666666666667
"019",0.833333333333333
"020",0.75
"021",0.833333333333333
"022",1
"023",0.333333333333333
"024",0.833333333333333
"025",0.833333333333333
"026",0.333333333333333
"027",0.75
"028",0.583333333333333
"029",0.5
"030",0.583333333333333
"031",0.25
"032",0.416666666666667
"033",0.75
"034",0.583333333333333
"035",0.833333333333333
"036",0.666666666666667
"037",0.833333333333333
"038",0.75
"039",1
"040",0.833333333333333
"041",0.75
"042",0.833333333333333
"043",0.75
"044",0.916666666666667
"045",0.333333333333333
"046",1
"047",0.25
"048",0.333333333333333
"049",0.916666666666667
"050",0.75
"051",0.833333333333333
"052",0.833333333333333
"053",0.333333333333333
"054",0.666666666666667
"055",1
"056",0.75
"057",0.75
"058",0.583333333333333
"059",0.75
"060",0.833333333333333
"061",0.666666666666667
"062",0.583333333333333
"063",0.25
"064",0.5
"065",1
"066",0.833333333333333
"067",0.833333333333333
"068",0.916666666666667
"069",0.666666666666667
"070",0.75
"071",0.583333333333333
"072",1
"073",0.75
"074",0.333333333333333
"075",0.666666666666667
"076",0.666666666666667
"077",0.75
"078",0.75
"079",0.666666666666667
"080",1
"081",0.833333333333333
"082",1
"083",0.583333333333333
"084",0.75
"085",0.666666666666667
"086",0.416666666666667
"087",0.916666666666667
"088",0.583333333333333
"089",0.833333333333333
"090",0.75
"091",0.583333333333333
"092",0.833333333333333
"093",0.416666666666667
"094",0.75
"095",0.666666666666667
"096",0.583333333333333
"097",0.666666666666667
"098",0.916666666666667
"099",0.583333333333333
"100",0.833333333333333
"101",0.416666666666667
"102",0.833333333333333
"103",0.916666666666667
"104",0.333333333333333
"105",0.833333333333333
"107",0.75
"108",1
"109",0.916666666666667
"110",1
"111",0.833333333333333
"112",0.75
"113",0.416666666666667
"114",0.416666666666667
"115",0.416666666666667
"116",0.583333333333333
"117",0.5
"118",0.333333333333333
"119",0.666666666666667
"120",0.583333333333333
"121",0.75
"122",0.833333333333333
"123",0.916666666666667
"124",0.916666666666667
"125",0.916666666666667
"126",0.75
"127",0.666666666666667
"128",0.666666666666667
"129",0.833333333333333
"130",0.25
"131",0.166666666666667
"132",0.833333333333333
"133",0.5
"134",0.833333333333333
"135",0.75
"136",0.75
"137",1
"138",0.583333333333333
"139",1
"140",0.583333333333333
"141",0.75
"142",0.5
"143",0.583333333333333
"144",1
"145",0.583333333333333
"146",0.416666666666667
"147",0.416666666666667
"148",0.75
"149",0.75
"150",0.75
"151",0.416666666666667
"152",0.75
"153",0.833333333333333
"154",0.666666666666667
"155",0.916666666666667
"156",0.833333333333333
"157",0.916666666666667
"158",0.833333333333333
"159",0.583333333333333
"160",0.75
"161",0.583333333333333
"162",0.75
"164",0.833333333333333
"165",0.833333333333333
"166",0.416666666666667
"167",0.666666666666667
"168",0.833333333333333
"169",0.833333333333333
"170",0.916666666666667
"171",1
"172",0.833333333333333
"173",0.666666666666667
"174",0.666666666666667
"175",0.833333333333333
"176",0.833333333333333
"177",0.666666666666667
"178",0.666666666666667
"179",0.583333333333333
"180",0.666666666666667
