"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_multi_01","SF_multi_02","SF_multi_03","SF_multi_04","SF_multi_05"
98,"man",20,"french",14,2,"right-handed",1,467.579545454545,231.13141025641,411.801703877791,0.9,0.857142857142857,0.916666666666667,206.830188679245,-6.85454545454547,603.80612244898,2080,-350,0,680,1750,1170,745,2080,1960,1715
99,"man",30,"french",20,9,"right-handed",1,441.588235294118,199.642857142857,178.597802197802,0.916666666666667,0.75,0.583333333333333,193.339622641509,19.2275641025641,132.610526315789,3610,-100,1150,1060,1500,940,2310,2990,2670,3610
100,"man",30,"french",20,7,"right-handed",1,434.295454545455,115.026666666667,209.347918043622,0.883333333333333,0.892857142857143,0.833333333333333,180.018867924528,53.6836363636364,314.712023460411,3160,-100,550,960,1750,2260,3160,2020,2435,2170
101,"woman",22,"french",14,6.5,"right-handed",1,403.842696629213,191.422068965517,-45.9296296296296,0.825,0.821428571428571,0.416666666666667,209.259259259259,-52.2459893048128,349.676212938006,1210,-400,350,760,500,390,110,1110,1070,1210
102,"man",26,"french",18,6,"right-handed",1,472.921348314607,144.604895104895,127.014574314574,0.933333333333333,0.75,0.833333333333333,185.961538461538,45.3160535117057,364.559198542805,2280,-370,500,650,1500,2050,2085,2280,1665,1520
103,"man",27,"french",17,3,"left-handed",1,450.25,263.33023872679,153.647374847375,0.883333333333333,0.892857142857143,0.916666666666667,160.735849056604,184.766025641026,570.397225725094,2290,-150,250,940,1250,775,1910,990,2290,2130
107,"man",21,"french",14,2,"right-handed",1,393.129411764706,-74.3227513227514,518.498013090229,0.95,0.714285714285714,0.75,251.37037037037,72.735,143.826422372228,1090,-220,150,910,250,395,-585,-320,580,1090
109,"man",23,"french",18,2,"right-handed",1,396.162790697674,333.51724137931,47.0618854829381,0.95,0.785714285714286,0.916666666666667,214.981132075472,-8.12695652173909,786.908974358974,2445,-335,550,980,1250,1590,2055,905,2050,2445
110,"man",24,"french",19,5.5,"left-handed",1,371.546511627907,267.231034482759,40.3170163170163,0.741666666666667,0.785714285714286,1,158.603773584906,23.5357142857143,262.540209159755,3670,-440,650,960,2500,2095,2780,2730,3670,3165
111,"woman",35,"french",20,2,"right-handed",1,536.741573033708,149.724285714286,85.0760079312624,0.9,0.821428571428571,0.833333333333333,191.62962962963,159.961538461538,155.914285714286,-235,-1595,50,810,500,-1015,-545,-1275,-315,-235
112,"man",21,"french",17,6,"right-handed",1,423.931818181818,137.583333333333,102.801645606818,0.9,1,0.75,130.555555555556,119.565476190476,240.852459016393,2170,-590,1000,1010,750,670,1305,1605,2170,1555
113,"woman",18,"french",12,4.5,"right-handed",1,384.317647058824,343.562857142857,144.021435354769,0.85,0.678571428571429,0.416666666666667,247.660377358491,19.7983333333334,207.310569663693,355,-1415,450,820,500,-320,-90,-120,355,-1020
115,"man",20,"french",13,7,"right-handed",1,428.64367816092,205.315934065934,75.9904239019407,0.825,0.75,0.416666666666667,190.339622641509,61.2142857142857,580.227459016393,1820,-100,300,1120,500,1020,1020,1635,1630,1820
117,"woman",32,"french",17,4.5,"right-handed",1,437.556818181818,269.888888888889,168.318681318681,0.866666666666667,0.892857142857143,0.5,187.018867924528,55.465034965035,420.138233514822,1270,-290,300,510,750,285,1010,580,1005,1270
118,"man",35,"french",17,6,"right-handed",1,454.681818181818,315.938808373591,36.8641715727501,0.766666666666667,0.642857142857143,0.333333333333333,196.11320754717,113.475714285714,453.712765957447,-1095,-1405,0,60,250,-1615,-2305,-1160,-1095,-1375
119,"woman",27,"french",12,5.5,"right-handed",1,628.701298701299,285.767816091954,130.183512544803,0.916666666666667,0.785714285714286,0.666666666666667,161.660377358491,117.541666666667,983.274064598657,-255,-1285,150,630,250,-1925,-465,-990,-530,-255
120,"woman",25,"french",17,4.5,"right-handed",1,415.227272727273,178.866459627329,78.064449064449,0.908333333333333,0.821428571428571,0.583333333333333,136.111111111111,62.4417391304347,345.313636363636,1340,-220,350,710,500,-505,-75,245,815,1340
121,"woman",23,"french",16,7,"left-handed",1,410.093023255814,189.269476372925,59.0009990009991,0.85,0.857142857142857,0.75,213.716981132075,63.2230769230769,633.433589829374,960,-540,200,550,750,-450,-20,-340,960,160
122,"man",22,"french",18,3,"right-handed",1,394.258426966292,35.4444444444445,76.2526542324247,0.941666666666667,0.857142857142857,0.833333333333333,181.192307692308,84.3076923076923,281.075366568915,3170,-50,650,820,1750,1340,2870,2920,3170,3130
123,"man",21,"french",14,3.5,"right-handed",1,408.704545454545,36.506734006734,114.673913043478,0.958333333333333,0.928571428571429,0.916666666666667,212.962962962963,144.331908831909,319.923913043478,1320,-240,300,760,500,960,-90,1320,820,550
124,"woman",21,"french",16,6.5,"left-handed",1,507.081395348837,117.846666666667,57.9856910569105,0.941666666666667,0.714285714285714,0.916666666666667,197.807692307692,28.5559440559441,184.076791076791,1520,-600,150,970,1000,1110,350,1520,800,285
125,"woman",20,"french",16,3.5,"right-handed",1,453.670454545455,191.533333333333,8.91898527004912,0.925,0.928571428571429,0.916666666666667,166.811320754717,186.607085346216,385.027777777778,485,-895,200,680,500,355,-575,-30,0,485
126,"man",22,"french",15,6,"left-handed",1,430.476744186047,180.558518518518,98.5958646616541,0.908333333333333,0.892857142857143,0.75,249.407407407407,165.92,657.180214458665,2185,-85,200,570,1500,1390,890,1455,1915,2185
127,"man",20,"french",15,6,"left-handed",1,443.903614457831,66.7289562289562,93.1258662369057,0.783333333333333,0.678571428571429,0.666666666666667,200.679245283019,123.993311036789,126.782590051458,2490,-100,300,1040,1250,1180,1395,805,2375,2490
128,"woman",20,"french",15,6.5,"right-handed",1,378.151162790698,158.107142857143,63.0087614496217,0.933333333333333,0.928571428571429,0.666666666666667,216.471698113208,-44.5723076923077,367.928266178266,1310,-1260,500,820,1250,500,505,1130,740,1310
129,"man",22,"french",17,6,"right-handed",1,444.46511627907,94.2273307790549,138.121568627451,0.916666666666667,0.785714285714286,0.833333333333333,242.074074074074,185.980072463768,607.458973233875,1805,-155,200,1010,750,1680,400,1645,1805,1350
131,"woman",28,"french",14,5.5,"right-handed",1,524.707865168539,159.981481481481,115.762183468705,0.825,0.571428571428571,0.166666666666667,176.018867924528,-45.3782051282051,217.038819026791,30,-1240,250,770,250,-2500,30,-485,-330,-380
132,"woman",25,"french",14,2,"right-handed",1,502.825581395349,269.42619047619,265.278426836322,0.8,0.714285714285714,0.833333333333333,206.716981132075,14.1195652173913,409.50701754386,810,-470,200,830,250,-395,-590,135,120,810
133,"woman",24,"french",15,10,"right-handed",1,420.267441860465,134.552727272727,99.6900383141763,0.808333333333333,0.75,0.5,240,-5.7180952380952,292.703333333333,90,-1300,200,690,500,-25,-280,-485,-235,90
134,"man",21,"french",15,6.5,"right-handed",1,382.528735632184,117.448148148148,212.952113429641,0.866666666666667,0.714285714285714,0.833333333333333,221.754716981132,88.0357142857143,507.585749385749,1330,-350,200,980,500,1330,1330,1010,910,1190
135,"woman",21,"french",15,4.5,"right-handed",1,564.488636363636,465.332307692308,115.150549450549,0.891666666666667,0.607142857142857,0.75,193.481481481481,44.1153846153846,410.682786885246,760,-540,500,550,250,-2280,-885,-195,-1435,760
139,"man",20,"french",15,4.5,"right-handed",1,396.25,84.4655172413793,13.6524154589372,0.9,0.892857142857143,1,247.792452830189,-28.5654545454545,83.4647221127316,1420,-50,300,420,750,520,1365,1420,625,880
140,"man",22,"french",16,4,"right-handed",1,399.795454545455,361.115384615385,205.889090909091,0.825,0.642857142857143,0.583333333333333,174.264150943396,196.877995642702,621.064285714286,2195,-435,450,930,1250,1320,1395,880,2195,2060
142,"man",25,"french",17,9,"right-handed",1,436.314606741573,152.080901856764,125.309803921569,0.891666666666667,0.75,0.5,205.5,328.065714285714,1366.86830357143,3025,-35,950,860,1250,445,2290,3025,1345,1920
143,"woman",27,"french",16,1,"right-handed",1,536.816091954023,269.790450928382,325.393258426966,0.925,0.75,0.583333333333333,323.666666666667,39.1904761904763,897.493439037726,-885,-1245,0,110,250,-1750,-1605,-1195,-1400,-885
144,"man",22,"french",16,6,"right-handed",1,513.530120481928,11.2002652519893,40.1739130434783,0.916666666666667,1,1,175.924528301887,31.2592592592592,138.601960784314,3640,-350,800,940,2250,3360,3095,3640,2205,400
145,"woman",26,"french",16,6,"right-handed",1,463.941176470588,153.829230769231,55.9629629629629,0.808333333333333,0.892857142857143,0.583333333333333,193,121.791666666667,205.001214329083,-770,-1630,100,510,250,-905,-770,-2025,-1100,-950
146,"man",23,"french",17,9,"right-handed",1,425.022988505747,43.5866666666666,241.363837312113,0.8,0.642857142857143,0.416666666666667,233.038461538462,36.2083333333334,253.277597402597,2115,-485,400,700,1500,1930,2010,2115,1940,1785
148,"man",24,"french",17,2.5,"right-handed",1,417.697674418605,329.972148541114,125.413171355499,0.875,0.571428571428571,0.75,165.884615384615,93.4245014245014,381.117741935484,1470,-150,200,920,500,-690,-185,380,1470,710
149,"woman",26,"french",19,2,"right-handed",1,506.37037037037,492.610248447205,133.161791928915,0.825,0.75,0.75,275.339622641509,248.153846153846,484.974528301887,-1330,-2390,100,460,500,-1740,-1370,-2820,-1640,-1330
150,"woman",25,"french",17,4.5,"right-handed",1,375.047058823529,139.244708994709,65.5546265328874,0.941666666666667,0.785714285714286,0.75,189.037037037037,128.029761904762,180.122205663189,2765,-735,550,950,2000,1850,1195,2765,2005,1290
151,"woman",22,"french",16,5.5,"right-handed",1,435.566666666667,79.6428571428571,148.666367598052,0.925,0.785714285714286,0.416666666666667,232.884615384615,26.7101449275362,334.568926974665,2005,-85,800,790,500,770,2005,1615,1315,1390
